condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement,AccuracyP,Accuracy
Dyads,32,1,1,6,0,10101.jpg 1,3,3,1,0,1,-200,19214,3,3.5,2.5,1.5,0.6034377613374512,1
Dyads,32,1,1,7,0,01011.jpg 1,2,2,0,1,1,-100,7039,3,3.5,2.5,1.5,0.7807434795097093,1
Dyads,32,1,1,8,0,00001.jpg 1,1,1,0,0,1,0,6684,3,3.5,2.5,1.5,0.7344539626259312,1
Dyads,32,1,1,9,0,11101.jpg 1,3,3,1,0,1,100,21299,3,3.5,2.5,1.5,0.6628725333508525,1
Dyads,32,1,1,10,0,01100.jpg 1,1,1,0,0,1,200,12264,3,3.5,2.5,1.5,0.5302192340086005,1
Dyads,32,1,1,11,0,10101.jpg 1,3,3,1,0,1,300,4678,3,3.5,2.5,1.5,0.6034377613374512,1
Dyads,32,1,1,12,0,11001.jpg 1,1,3,0,0,0,200,21052,3,3.5,2.5,1.5,0.6234115711706132,0
Dyads,32,1,1,13,0,11111.jpg 1,4,4,1,1,1,300,14002,3,3.5,2.5,1.5,0.7290090876229209,1
Dyads,32,1,1,14,0,10100.jpg 1,3,3,1,0,1,400,5313,3,3.5,2.5,1.5,0.6825260842454018,1
Dyads,32,1,1,15,0,00011.jpg 1,2,2,0,1,1,500,5830,3,3.5,2.5,1.5,0.7337394088199782,1
Dyads,32,1,1,16,0,11110.jpg 1,4,4,1,1,1,600,8973,3,3.5,2.5,1.5,0.7789737935401798,1
Dyads,32,1,1,17,0,11100.jpg 1,3,3,1,0,1,700,6935,3,3.5,2.5,1.5,0.6117401184344118,1
Dyads,32,1,1,18,0,00010.jpg 1,2,2,0,1,1,800,4433,3,3.5,2.5,1.5,0.7151581441954508,1
Dyads,32,1,1,19,0,00101.jpg 1,1,1,0,0,1,900,30385,3,3.5,2.5,1.5,0.6073660542624755,1
Dyads,32,1,1,20,0,00100.jpg 1,1,1,0,0,1,1000,18594,3,3.5,2.5,1.5,0.6972658306325086,1
Dyads,32,1,1,21,0,01000.jpg 1,1,1,0,0,1,1100,16004,3,3.5,2.5,1.5,0.8667106675725136,1
Dyads,32,1,1,22,0,01000.jpg 1,1,1,0,0,1,1200,3955,3,3.5,2.5,1.5,0.8667106675725136,1
Dyads,32,1,1,23,0,01011.jpg 1,2,2,0,1,1,1300,3526,3,3.5,2.5,1.5,0.7807434795097093,1
Dyads,32,1,1,24,0,10101.jpg 1,3,3,1,0,1,1400,7273,3,3.5,2.5,1.5,0.6034377613374512,1
Dyads,32,1,1,25,0,00000.jpg 1,1,1,0,0,1,1500,7616,3,3.5,2.5,1.5,0.7407841198816474,1
Dyads,32,1,1,26,0,01100.jpg 1,1,1,0,0,1,1600,6216,3,3.5,2.5,1.5,0.5302192340086005,1
Dyads,32,1,1,27,0,01101.jpg 1,1,1,0,0,1,1700,2978,3,3.5,2.5,1.5,0.6223643044525368,1
Dyads,32,1,1,28,0,10000.jpg 1,1,3,0,0,0,1600,29042,3,3.5,2.5,1.5,0.4908465577422038,0
Dyads,32,1,1,29,0,10100.jpg 1,3,3,1,0,1,1700,8568,3,3.5,2.5,1.5,0.6825260842454018,1
Dyads,32,1,1,30,0,00110.jpg 1,2,2,0,1,1,1800,12020,3,3.5,2.5,1.5,0.5676910385643593,1
Dyads,32,1,1,31,0,11100.jpg 1,3,3,1,0,1,1900,5052,3,3.5,2.5,1.5,0.6117401184344118,1
Dyads,32,1,1,32,0,11110.jpg 1,4,4,1,1,1,2000,11563,3,3.5,2.5,1.5,0.7789737935401798,1
Dyads,32,2,1,1,0,10111.jpg 2,4,4,1,1,1,100,13010,3,3.5,2.5,1.5,0.8101753089312493,1
Dyads,32,2,1,2,0,10100.jpg 2,2,3,0,1,0,0,3930,3,3.5,2.5,1.5,0.6346025516310978,0
Dyads,32,2,1,3,0,00010.jpg 2,3,2,1,0,0,-100,4613,3,3.5,2.5,1.5,0.5461108537754742,0
Dyads,32,2,1,4,0,10101.jpg 2,2,3,0,1,0,-200,15958,3,3.5,2.5,1.5,0.586409576558584,0
Dyads,32,2,1,5,0,10110.jpg 2,4,4,1,1,1,-100,11384,3,3.5,2.5,1.5,0.6016292582811634,1
Dyads,32,2,1,6,0,11000.jpg 2,2,1,0,1,0,-200,9737,3,3.5,2.5,1.5,0.47254534140209753,0
Dyads,32,2,1,7,0,00011.jpg 2,3,2,1,0,0,-300,4108,3,3.5,2.5,1.5,0.6602503845338127,0
Dyads,32,2,1,8,0,00111.jpg 2,3,4,1,0,0,-400,23368,3,3.5,2.5,1.5,0.34378709226852594,0
